Date,ShortVolume,ShortExemptVolume,TotalVolume
2019-06-17,89432.0,558.0,261132.0
2019-06-14,107768.0,16028.0,194907.0
2019-06-13,111445.0,173.0,242877.0
2019-06-12,130622.0,487.0,274767.0
2019-06-11,162366.0,69.0,382449.0
2019-06-10,150483.0,266.0,346693.0
2019-06-07,136665.0,607.0,583415.0
2019-06-06,171610.0,406.0,450883.0
2019-06-05,214510.0,1048.0,525042.0
2019-06-04,365909.0,2050.0,812592.0
2019-06-03,496882.0,1533.0,1294640.0
2019-05-31,147897.0,309.0,329239.0
2019-05-30,81643.0,147.0,229455.0
2019-05-29,126205.0,1418.0,418370.0
2019-05-28,93406.0,27.0,207928.0
2019-05-24,98674.0,21.0,189074.0
2019-05-23,166107.0,40.0,285030.0
2019-05-22,87111.0,101.0,163397.0
2019-05-21,109407.0,70.0,210770.0
2019-05-20,164489.0,67.0,282450.0
2019-05-17,155078.0,25.0,271560.0
2019-05-16,248653.0,16.0,466537.0
2019-05-15,427132.0,2.0,744280.0
2019-05-14,256114.0,52.0,452932.0
2019-05-13,300945.0,3396.0,557186.0
2019-05-10,211990.0,208.0,376121.0
2019-05-09,172740.0,807.0,356805.0
2019-05-08,130285.0,573.0,271369.0
2019-05-07,159359.0,1315.0,387862.0
2019-05-06,208428.0,289.0,387018.0
2019-05-03,230217.0,352.0,504426.0
2019-05-02,246250.0,952.0,566290.0
2019-05-01,303929.0,1451.0,1174812.0
2019-04-30,723296.0,4570.0,1632696.0
2019-04-29,307551.0,216.0,713708.0
2019-04-26,146944.0,74.0,323931.0
2019-04-25,174616.0,72.0,380145.0
2019-04-24,119571.0,485.0,234198.0
2019-04-23,187538.0,420.0,366321.0
2019-04-22,98277.0,30.0,228278.0
2019-04-18,96216.0,205.0,197717.0
2019-04-17,112289.0,228.0,334072.0
2019-04-16,85546.0,417.0,252880.0
2019-04-15,81962.0,1360.0,260889.0
2019-04-12,113733.0,729.0,230100.0
2019-04-11,81701.0,230.0,217330.0
2019-04-10,79142.0,22.0,190882.0
2019-04-09,73020.0,1157.0,195486.0
2019-04-08,68733.0,57.0,246085.0
2019-04-05,71431.0,450.0,234627.0
2019-04-04,88662.0,8.0,203817.0
2019-04-03,89187.0,51.0,215638.0
2019-04-02,81445.0,556.0,193849.0
2019-04-01,97458.0,377.0,308817.0
2019-03-29,80996.0,745.0,240761.0
2019-03-28,81245.0,348.0,250783.0
2019-03-27,87395.0,1009.0,294306.0
2019-03-26,119738.0,62.0,289400.0
2019-03-25,74777.0,224.0,244171.0
2019-03-22,107161.0,591.0,352875.0
2019-03-21,145789.0,122.0,336211.0
2019-03-20,194591.0,701.0,500744.0
2019-03-19,141221.0,1381.0,325219.0
2019-03-18,103203.0,139.0,279952.0
2019-03-15,190311.0,1.0,435260.0
2019-03-14,94240.0,311.0,276731.0
2019-03-13,88468.0,499.0,269161.0
2019-03-12,221907.0,123.0,447556.0
2019-03-11,97862.0,1555.0,245931.0
2019-03-08,102256.0,0.0,246376.0
2019-03-07,136268.0,1123.0,293021.0
2019-03-06,104823.0,719.0,244107.0
2019-03-05,193316.0,458.0,420734.0
2019-03-04,153096.0,1481.0,370446.0
2019-03-01,172642.0,1559.0,363439.0
2019-02-28,141770.0,101.0,291929.0
2019-02-27,122792.0,404.0,259664.0
2019-02-26,195168.0,441.0,430947.0
2019-02-25,129106.0,132.0,268366.0
2019-02-22,106613.0,69.0,306362.0
2019-02-21,104552.0,223.0,348550.0
2019-02-20,88057.0,837.0,277333.0
2019-02-19,54106.0,892.0,208986.0
2019-02-15,71520.0,105.0,248078.0
2019-02-14,90430.0,42.0,240882.0
2019-02-13,94979.0,231.0,252099.0
2019-02-12,142091.0,196.0,389048.0
2019-02-11,63813.0,2224.0,182825.0
2019-02-08,97543.0,1092.0,244996.0
2019-02-07,176723.0,323.0,420491.0
2019-02-06,253057.0,119.0,580092.0
2019-02-05,471664.0,236.0,1060315.0
2019-02-04,384057.0,453.0,756079.0
2019-02-01,184157.0,207.0,339829.0
2019-01-31,247096.0,1041.0,469207.0
2019-01-30,108630.0,31.0,316712.0
2019-01-29,60558.0,90.0,237123.0
2019-01-28,126069.0,17.0,283975.0
2019-01-25,109123.0,680.0,244463.0
2019-01-24,110496.0,184.0,310978.0
2019-01-23,134478.0,30.0,288774.0
2019-01-22,113046.0,1392.0,350015.0
2019-01-18,175427.0,107.0,417498.0
2019-01-17,155788.0,87.0,273662.0
2019-01-16,200665.0,285.0,452333.0
2019-01-15,195051.0,7.0,448945.0
2019-01-14,130676.0,24.0,306514.0
2019-01-11,128402.0,78.0,366375.0
2019-01-10,114133.0,335.0,286223.0
2019-01-09,135511.0,200.0,288582.0
2019-01-08,156190.0,58.0,372295.0
2019-01-07,193794.0,31.0,683689.0
2019-01-04,208995.0,64.0,454797.0
2019-01-03,160895.0,95.0,401244.0
2019-01-02,144906.0,227.0,343725.0
2018-12-31,99368.0,230.0,315888.0
2018-12-28,141102.0,156.0,377256.0
2018-12-27,182203.0,29.0,430002.0
2018-12-26,204420.0,137.0,487265.0
2018-12-24,172749.0,425.0,440748.0
2018-12-21,345608.0,1351.0,849341.0
2018-12-20,203910.0,823.0,561949.0
2018-12-19,305632.0,256.0,607601.0
2018-12-18,203811.0,31.0,444605.0
2018-12-17,142884.0,124.0,481494.0
2018-12-14,87782.0,55.0,335557.0
2018-12-13,78883.0,185.0,227693.0
2018-12-12,93497.0,213.0,290834.0
2018-12-11,161417.0,70.0,400667.0
2018-12-10,151988.0,40.0,368523.0
